dt,timestamp,open,high,low,close,volumeBTC,volumeUSD,weightedPrice
2011-03-20,1300579200,0.763,0.79,0.7402,0.74108,5815.319,4502.62403926,0.774269483628
2011-03-21,1300665600,0.76145,0.77241,0.7405,0.75897,3695.962,2780.4512132,0.752294318286
2011-03-22,1300752000,0.75897,0.81,0.7405,0.80901,12147.723,9499.23737253,0.781976784664
2011-03-23,1300838400,0.81,0.85,0.78,0.84971,13262.257,11029.25030887,0.831626947726
2011-03-24,1300924800,0.832,0.9,0.82659,0.86688,14009.368,12259.77389937,0.87511256035
2011-03-25,1301011200,0.86688,0.88999,0.861,0.88377,4819.415,4225.52951098,0.876772286881
2011-03-26,1301097600,0.8837,0.905,0.841,0.8552,11756.42,10250.97673431,0.871947134783
2011-03-27,1301184000,0.829,0.87211,0.8152,0.82,5337.145,4439.0672079,0.831730673965
2011-03-28,1301270400,0.82,0.85,0.76,0.79898,12565.154,10141.70469831,0.807129359362
2011-03-29,1301356800,0.7989,0.79966,0.7648,0.7925,4215.017,3312.30058905,0.785833269249
2011-03-30,1301443200,0.7925,0.795,0.76599,0.7897,3218.221,2532.13336351,0.786811522114
2011-03-31,1301529600,0.7897,0.80098,0.768,0.78461,6875.082,5429.15614952,0.78968602113
2011-04-01,1301616000,0.78461,0.79697,0.7741,0.77411,3186.767,2483.68752958,0.77937531347
2011-04-02,1301702400,0.775,0.7998,0.7741,0.78199,2493.595,1965.23279665,0.788112262276
2011-04-03,1301788800,0.78199,0.79487,0.777,0.779,3931.385,3074.75574179,0.782104968552
2011-04-04,1301875200,0.78,0.785,0.5619,0.68,31155.458,21652.68835204,0.694988606877
2011-04-05,1301961600,0.68,0.74784,0.58,0.71,9730.303,6522.71448864,0.670350603536
2011-04-06,1302048000,0.7477,0.75,0.6902,0.74,8703.946,6264.04033946,0.719678217151
2011-04-07,1302134400,0.748,0.78491,0.7205,0.7538,10832.992,8178.14150501,0.754929155769
2011-04-08,1302220800,0.7538,0.799,0.7309,0.74999,18207.3,13854.66226135,0.76093996701
2011-04-09,1302307200,0.74999,0.7676,0.7205,0.73,12119.397,8940.96103764,0.73773976029
2011-04-10,1302393600,0.75,0.7589,0.71,0.7369,5348.98,3946.44002038,0.737793003597
2011-04-11,1302480000,0.7369,0.799,0.7103,0.77,14645.925,11255.96451706,0.768538997507
2011-04-12,1302566400,0.7787,0.899,0.7703,0.86,48417.601,41333.11260509,0.853679483316
2011-04-13,1302652800,0.86,1.0,0.86,0.9225,43397.558,40467.73712876,0.932488807982
2011-04-14,1302739200,0.939,1.0,0.91,1.0,31111.877,29643.60890267,0.952806830095
2011-04-15,1302825600,1.0,1.08999,0.911,0.98991,50304.611,50488.93920613,1.003664240762
2011-04-16,1302912000,0.9841,1.095,0.95414,1.0499,28869.299,30097.17666549,1.042532299294
2011-04-17,1302998400,1.048,1.14,1.0255,1.1123,24225.699,26085.24948949,1.076759415259
2011-04-18,1303084800,1.13888,1.1999,1.1103,1.16199,27478.69,31552.54792812,1.148255172576
2011-04-19,1303171200,1.1618,1.1979,1.1436,1.1979,12556.732,14782.06274773,1.177222126564
2011-04-20,1303257600,1.181,1.1979,1.13,1.1421,21344.953,24691.86369286,1.156801033615
2011-04-21,1303344000,1.14209,1.21,1.14,1.21,39295.694,46345.34981965,1.179400211628
2011-04-22,1303430400,1.21,1.41,1.189,1.40901,39415.39,50929.92235922,1.292132904412
2011-04-23,1303516800,1.3911,1.95,1.3202,1.7001,66620.358,103242.83861784,1.549719060619
2011-04-24,1303603200,1.7999,1.95,1.6,1.63011,21541.692,36076.0063024,1.674706253455
2011-04-25,1303689600,1.631,1.701,1.52109,1.559,13471.602,21226.88972805,1.575676725608
2011-04-26,1303776000,1.581,1.7949,1.53,1.7949,24054.311,40211.16690399,1.671682340184
2011-04-27,1303862400,1.781,1.95,1.72,1.9,33055.256,62403.35440753,1.887849678355
2011-04-28,1303948800,1.892,2.65,1.66,2.21059,100238.232,203392.45848419,2.029090641625
2011-04-29,1304035200,2.211,2.95,2.21,2.88,57577.324,148954.47357215,2.58703363102
2011-04-30,1304121600,2.879,4.14996,2.75,3.5,65427.797,214977.23542233,3.285717161199
2011-05-01,1304208000,3.5,3.87,2.5,3.03311,45772.074,143521.98265442,3.135579625569
2011-05-02,1304294400,3.0988,3.495,3.029,3.2,18333.831,59421.72104344,3.241096803142
2011-05-03,1304380800,3.2,3.49,3.11,3.41,16919.179,56187.47500382,3.32093389424
2011-05-04,1304467200,3.418,3.58,3.25,3.40609,17278.288,59434.10799509,3.439814638759
